CollegeID,College Name,University,City,State
4545,Women's Polytechnic,"Tripura University, Suryamaninagar",Agartala,Tripura
4546,Maa Buddha National Institute of Engineering and Technology,,Dhuripur,Uttar Pradesh
4547,Bharat Polytechnic College,,Kurukshetra,Haryana
4548,Dev Polytechnic College,,Ambala Sadar,Haryana
4549,Jai Polytechnic,,Barara,Haryana
4550,DSR College of Polytechnic,,Baheri,Uttar Pradesh
4551,Government Polytechnic,,Barabanki,Uttar Pradesh
4552,Excel Polytechnic College,,Namakkal,Tamil Nadu
4553,St Joseph Polytechnic College,,Coimbatore,Tamil Nadu
4554,Sri Muthalamman Polytechnic College,,Paramakudi,Tamil Nadu
4555,Government Polytechnic,,Mainpuri,Uttar Pradesh
4556,Shivam Institute of Science and Technology,,Mathura,Uttar Pradesh
4557,Sai Meer College of Polytechnic,,Chhibramau,Uttar Pradesh
4558,Jawahar Lal Nehru Polytechnic,,Mahmudabad,Uttar Pradesh
4559,Government Girls Polytechnic,,Allahabad,Uttar Pradesh
4560,The Surabi College of Polytechnic,,Siluvampatty,Tamil Nadu
4561,Paavai Polytechnic College,,Ananthakrishnarayasamudram,Tamil Nadu
4562,Chandy Polytechnic College,,Thoothukudi,Tamil Nadu
4563,Adhiparasakthi Polytechnic College,,Melmaruvathur,Tamil Nadu
4564,PSV Polytechnic College,,Elathagiri,Tamil Nadu
4565,SVS Polytechnic College,,Kunnamalai,Tamil Nadu
4566,KL Nagaswamy Memorial Polytechnic College,,Madurai,Tamil Nadu
4567,Sir ISSAC Newton Polytechnic College,,Nagapattinam,Tamil Nadu
4568,Sri Rajiv Gandhi Polytechnic College,,Thenmugam Vellode,Tamil Nadu
4569,Institute of Road Transport Polytechnic College,,Elathagiri,Tamil Nadu
4570,Jaya Polytechnic College,,Thiruninravur,Tamil Nadu
4571,NV Polytechnic College,,Pethappampatti,Tamil Nadu
4572,Erode Kongu College of Polytechnic,,Erode,Tamil Nadu
4573,ADJ Dharmambal Polytechnic College,,Nagapattinam,Tamil Nadu
4574,Pattukkottai Polytechnic College,,Pattukkottai,Tamil Nadu
4575,Sakthi Polytechnic College,,Sakthi Nagar,Tamil Nadu
4576,Balasaheb Mhatre Polytechnic,,Thane,Maharashtra
4577,Amrutvahini Polytechnic,,Sangamner,Maharashtra
4578,CSMSS College of Polytechnic,,Aurangabad,Maharashtra
4579,Anand Charitable Sansta's Diploma in Engineering and Technology,,Ashti,Maharashtra
4580,PK Polytechnic,,Mathura,Uttar Pradesh
4581,St Mary's Polytechnic College,,Mudappallur,Kerala
4582,Keltron Toolroom Research and Training Centre,,Kochi,Kerala
4583,Thiagarajar Polytechnic College,,Vendore,Kerala
4584,Government Polytechnic College,,Chelad,Kerala
4585,Government Women's Polytechnic College,,Kozhikode,Kerala
4586,Government Polytechnic College,,Manakala,Kerala
4587,Government Polytechnic College,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Morena,Madhya Pradesh
4588,Manthan Polytechnic College,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Amlaha,Madhya Pradesh
4589,Dreams College of Polytechnic,,Saharanpur,Uttar Pradesh
4590,Dr Dashrath Chaudhary National Polytechnic,,Kudarankhas,Uttar Pradesh
4591,Pravin Patil College of Diploma Engineering and Technology,,Thane,Maharashtra
4592,Loknete Gopalraoji Gulve Polytechnic,,Vilholi,Maharashtra
4593,Shree Jaywantrao Bhosale Polytechnic,,Ambak,Maharashtra
4594,Kamptee Polytechnic,,Yerkheda,Maharashtra
4595,YB Patil Polytechnic,,Pimpri-Chinchwad,Maharashtra
4596,Shree Santkrupa Institute of Engineering and Technology,"Dr Babasaheb Ambedkar Technological University, Lonere",Karad,Maharashtra
4597,GRG Polytechnic College,,Coimbatore,Tamil Nadu
4598,The Kavery Polytechnic College,,M.Kalipatti,Tamil Nadu
4599,Kongunadu Polytechnic College,,Thottiyam,Tamil Nadu
4600,Priyadarshini Polytechnic College,,Vaniyambadi,Tamil Nadu
4601,Siga Polytechnic College,,Chennai,Tamil Nadu
4602,S Thangapazham Polytechnic College,,Sivagiri,Tamil Nadu
4603,Ranganathan Polytechnic College,,Viraliyur,Tamil Nadu
4604,Sri Ragavendra Polytechnic College,,Komarapalayam,Tamil Nadu
4605,Dr JJ Magdum Polytechnic,,Jaysingpur,Maharashtra
4606,Rambhau Lingade Polytechnic College,,Buldana,Maharashtra
4607,Shreeyash Polytechnic,,Aurangabad,Maharashtra
4608,Sophia Polytechnic,,Mumbai,Maharashtra
4609,SPIT Polytechnic,,Kurund,Maharashtra
4610,Vivekananda Polytechnic College,,Khetri,Rajasthan
4611,Rajasthan Polytechnic College,,Jhunjhunu,Rajasthan
4612,CMRB Government Polytechnic College,,Sri Ganganagar,Rajasthan
4613,RK Polytechnic College,,Jaipur,Rajasthan
4614,Shree Sai College of Education and Technology,"Chaudhary Charan Singh University, Meerut",Meerut,Uttar Pradesh
4615,Rishi Ram Naresh Technical Institute,,Majhaua,Uttar Pradesh
4616,Digamber Jain Polytechnic,,Baraut,Uttar Pradesh
4617,Swami Sahajanand Polytechnic Institute,,Panti Khurd,Uttar Pradesh
4618,Shri Moti Smriti Institute of Technology,,Jagga Nagla,Uttar Pradesh
4619,Smt Manjira Devi Shikshan Avam Prakashan Institute,,Uttarkashi,Uttarakhand
4620,Uttaratech Polytechnic,,Mehwarkalan,Uttarakhand
4621,Roorkee College of Polytechnic,,Kishanpur Jamalpur,Uttarakhand
